Iteration,Total_Projects,Detected_Projects_Count
1,878,318
2,878,173
3,878,137
4,878,160
5,878,91
6,878,98
7,878,91
8,878,86
9,878,77
10,878,76
11,878,60
12,878,62
13,878,53
14,878,65
15,878,56
16,878,58
17,878,56
18,878,44
19,878,55
20,878,54
21,878,50
22,878,47
23,878,45
24,878,55
25,878,48
26,878,43
27,878,40
28,878,34
29,878,39
30,878,39
31,878,47
32,878,40
33,878,34
34,878,42
35,878,44
36,878,42
37,878,34
38,878,35
39,878,37
40,878,33
41,878,26
42,878,34
43,878,29
44,878,36
45,878,23
46,878,42
47,878,30
48,878,40
49,878,31
50,878,33
51,878,23
52,878,30
53,878,28
54,878,37
55,878,27
56,878,34
57,878,28
58,878,25
59,878,23
60,878,27
61,878,28
62,878,27
63,878,29
64,878,37
65,878,29
66,878,50
67,878,35
68,878,44
69,878,23
70,878,31
71,878,38
72,878,30
73,878,28
74,878,29
75,878,28
76,878,19
77,878,29
78,878,28
79,878,27
80,878,30
81,878,25
82,878,26
83,878,23
84,878,33
85,878,32
86,878,33
87,878,31
88,878,24
89,878,24
90,878,35
91,878,31
92,878,29
93,878,30
94,878,41
95,878,27
96,878,20
97,878,30
98,878,37
99,878,23
100,878,32
101,878,30
102,878,38
103,877,24
104,877,37
105,877,29
106,877,22
107,877,21
108,877,33
109,877,27
110,877,32
111,877,33
112,877,27
113,877,29
114,877,31
115,877,27
116,877,27
117,877,33
118,877,22
119,877,32
120,877,27
121,877,30
122,877,27
123,877,32
124,876,23
125,876,29
126,876,29
127,876,26
128,876,33
129,876,35
130,876,20
131,876,26
132,876,32
133,876,21
134,876,34
135,876,23
136,876,35
137,876,18
138,876,36
139,876,32
140,876,29
141,876,30
142,876,31
143,876,16
144,876,25
145,876,24
146,876,24
147,876,21
148,876,17
149,876,22
150,876,27
151,876,28
152,876,17
153,876,30
154,876,23
155,876,28
156,876,23
157,876,22
158,876,25
159,876,30
160,876,23
161,876,24
162,876,26
163,876,21
164,876,20
165,876,25
166,876,23
167,876,23
168,876,20
169,876,22
170,876,23
171,876,24
172,876,21
173,876,23
174,876,26
175,876,22
176,876,29
177,876,18
178,876,20
179,876,31
180,876,20
181,876,21
182,876,21
183,876,27
184,876,25
185,876,24
186,876,25
187,876,22
188,876,26
189,876,27
190,876,24
191,876,32
192,876,37
193,876,26
194,876,20
195,876,28
196,876,27
197,876,23
198,876,20
199,876,24
200,876,20
201,876,23
202,876,18
203,876,27
204,876,22
205,876,28
206,876,31
207,876,30
208,876,23
209,876,36
210,876,26
211,876,37
212,876,25
213,876,25
214,876,24
215,876,26
216,876,25
217,876,25
218,876,17
219,876,20
220,876,18
221,876,23
222,876,19
223,876,21
224,876,21
225,876,21
226,876,26
227,876,22
228,876,25
229,876,21
230,876,22
231,876,23
232,876,23
233,876,24
234,876,24
235,876,21
236,876,25
237,876,20
238,876,19
239,876,35
240,876,22
241,876,22
242,876,30
243,876,27
244,876,20
245,876,25
246,876,28
247,876,23
248,876,24
249,876,38
250,876,23
251,876,19
252,876,23
253,876,22
254,876,30
255,876,23
256,876,22
257,876,20
258,876,23
259,876,21
260,876,20
261,876,25
